Date;;Returns
20110607;90,545;1,989168761
20110608;92,364;0,912080653
20110609;93,210;1,386445406
20110610;94,512;-0,640109993
20110613;93,909;0,059129114
20110614;93,964;0,782272568
20110615;94,702;-5,458404241
20110616;89,671;0,889756123
20110617;90,473;-0,712937051
20110620;89,830;-1,351732454
20110621;88,624;-0,664752717
20110622;88,037;2,895920968
20110623;90,624;-6,278306551
20110624;85,109;-2,015323882
20110627;83,411;0,82421953
20110628;84,101;2,598274396
20110629;86,315;3,273644346
20110630;89,187;0,07114906
20110701;89,251;-0,633223966
20110704;88,687;-0,340563154
20110705;88,386;1,973397372
20110706;90,147;0,008801655
20110707;90,155;4,281261885
20110708;94,099;-0,219483458
20110711;93,893;-0,925421555
20110712;93,028;0,434061705
20110713;93,432;0,775164663
20110714;94,160;-1,358356711
20110715;92,889;0,856462926
20110718;93,688;-1,037255882
20110719;92,721;0,866549114
20110720;93,528;0,926837977
20110721;94,399;-0,543156729
20110722;93,888;0,982309533
20110725;94,815;-0,61705111
20110726;94,231;0,287867441
20110727;94,503;-0,721228361
20110728;93,824;-0,059627754
20110729;93,768;-0,529689406
20110801;93,273;0,059944339
20110802;93,329;-0,300081676
20110803;93,049;-2,812671808
20110804;90,468;-5,425859052
20110805;85,690;1,957407154
20110808;87,384;-5,284886042
20110809;82,886;-1,13422766
20110810;81,951;3,92132099
20110811;85,229;1,119205863
20110812;86,188;-0,055663792
20110815;86,140;1,911822936
20110816;87,803;-0,648492933
20110817;87,235;1,338025696
20110818;88,410;-3,318471694
20110819;85,524;1,512018046
20110822;86,827;-0,239653539
20110823;86,619;0,872886509
20110824;87,379;0,765519094
20110825;88,050;0,425783132
20110826;88,426;0,666729202
20110829;89,018;0,465867175
20110830;89,433;1,894700327
20110831;91,144;0,725305753
20110901;91,807;-0,488785123
20110902;91,360;-1,729811026
20110905;89,793;-2,023359347
20110906;87,994;2,520651909
20110907;90,241;2,545067187
20110908;92,567;-1,085315624
20110909;91,568;-1,566106266
20110912;90,145;-0,462181962
20110913;89,729;-0,32122808
20110914;89,441;-0,109379284
20110915;89,343;2,388038688
20110916;91,503;-0,071263142
20110919;91,437;-2,782976856
20110920;88,928;1,274598465
20110921;90,069;-0,162969706
20110922;89,922;-4,513158766
20110923;85,954;-1,45137657
