Date;Prices;Returns
20090811;16,546;-0,14094435
20090812;16,756;1,261404252
20090813;16,744;-0,069662141
20090814;16,791;0,278357869
20090817;16,919;0,761512853
20090818;17,246;1,912626609
20090819;17,421;1,009769603
20090820;17,666;1,396763646
20090821;17,970;1,702726141
20090824;17,760;-1,175715699
20090825;17,748;-0,065724616
20090826;17,748;0
20090827;17,701;-0,263331291
20090828;17,736;0,197563449
20090831;17,421;-1,79228163
20090901;17,258;-0,942133483
20090902;17,573;1,809094565
20090903;17,935;2,037533518
20090904;17,748;-1,046445128
20090907;17,888;0,785858661
20090908;18,028;0,779731046
20090909;17,690;-1,894862313
20090910;17,608;-0,462810743
20090911;17,001;-3,506765257
20090914;16,219;-4,707578007
20090915;16,663;2,697111677
20090916;16,418;-1,481508579
20090917;15,893;-3,25055704
20090918;15,928;0,220022091
20090921;16,301;2,317265164
20090922;16,033;-1,660088647
20090923;15,566;-2,954424631
20090924;14,924;-4,21034249
20090925;15,286;2,394861462
20090928;15,764;3,081792177
20090929;15,286;-3,081792177
20090930;15,589;1,96529379
20091001;15,426;-1,053433368
20091002;15,227;-1,294270065
20091005;15,309;0,534964975
20091006;16,021;4,544543626
20091007;15,881;-0,877840312
20091008;15,659;-1,405868512
20091009;16,079;2,647213404
20091012;16,663;3,564169133
20091013;16,709;0,279720462
20091014;16,849;0,834497193
20091015;16,593;-1,535270909
20091016;16,499;-0,564176391
20091019;16,849;2,0994473
20091020;17,013;0,964859312
20091021;17,468;2,639747185
20091022;16,873;-3,46619817
20091023;16,791;-0,485269583
20091026;16,733;-0,348068573
20091027;16,639;-0,559442019
20091028;16,616;-0,1403509
20091029;17,211;3,51881768
20091030;16,966;-1,433961068
20091102;16,966;0
20091103;16,791;-1,036995121
20091104;16,756;-0,208695728
20091105;16,768;0,069613647
20091106;16,301;-2,823052682
20091109;16,184;-0,718393894
20091110;16,009;-1,087361203
20091111;15,776;-1,468455168
20091112;15,531;-1,565443821
20091113;15,648;0,748506489
20091116;16,033;2,43105895
20091117;15,578;-2,879490195
20091118;15,753;1,11733006
20091119;15,624;-0,818152574
20091120;15,251;-2,418863207
20091123;15,286;0,229270257
20091124;14,737;-3,653729384
20091125;15,029;1,960078431
20091126;15,087;0,387447211
20091127;15,379;1,915033629
20091130;15,333;-0,303951602
20091201;15,741;2,628765716
20091202;15,834;0,591280363
20091203;16,161;2,042375879
20091204;16,476;1,930699943
20091207;17,270;4,705948411
20091208;16,476;-4,705948411
20091209;16,568;0,557104505
20091210;16,557;-0,069468568
20091211;16,764;1,243109931
20091214;16,810;0,274160556
20091215;16,810;0
20091216;16,522;-1,725966214
20091217;15,659;-5,364174696
20091218;15,625;-0,220669453
20091221;14,324;-8,687749922
20091222;14,624;2,066846229
20091223;14,957;2,256027226
20091224;14,658;-2,020270732
20091229;14,566;-0,629923343
20091230;14,612;0,315457675
20091231;14,417;-1,347622456
20100104;15,061;4,372281101
20100105;14,612;-3,024658646
20100106;14,278;-2,309939425
20100107;14,647;2,545881335
20100108;14,957;2,098794489
20100111;15,164;1,375117161
20100112;14,808;-2,380150747
20100113;15,061;1,694955831
20100114;15,648;3,822121282
20100115;15,348;-1,930275225
20100118;15,774;2,735845309
20100119;15,889;0,726747385
20100120;15,383;-3,237957631
20100121;15,245;-0,901583868
20100122;15,107;-0,909786412
20100125;15,475;2,407941773
20100126;15,659;1,182571062
20100127;15,418;-1,555010971
20100128;15,118;-1,95936939
20100129;14,796;-2,153929425
20100201;14,635;-1,09461609
20100202;14,658;0,157109223
20100203;14,670;0,078462146
20100204;15,210;3,619956282
20100205;15,268;0,377501392
20100208;15,820;3,553297577
20100209;15,590;-1,465227679
20100210;15,256;-2,163456257
20100211;15,176;-0,529301803
20100212;14,900;-1,836317858
20100215;15,107;1,380390017
20100216;15,314;1,361594409
20100217;14,854;-3,051342755
20100218;14,911;0,386548607
20100219;14,405;-3,454032525
20100222;14,704;2,055408328
20100223;14,647;-0,392003638
20100224;15,026;2,559271128
20100225;14,842;-1,232681248
20100226;14,957;0,772204609
20100301;15,337;2,506777673
20100302;15,302;-0,225309896
20100303;15,579;1,788423226
20100304;15,095;-3,151048397
20100305;15,302;1,362625171
20100308;15,072;-1,515180502
20100309;15,107;0,228745811
20100310;15,222;0,758728981
20100311;14,946;-1,830714744
20100312;14,842;-0,695251931
20100315;15,061;1,462126855
20100316;14,934;-0,843886865
20100317;15,003;0,461184522
20100318;15,084;0,535374128
20100319;15,095;0,076248574
20100322;15,118;0,152322954
20100323;14,865;-1,68845147
20100324;14,704;-1,089504941
20100325;14,566;-0,943403223
20100326;14,865;2,032908164
20100329;14,693;-1,167782831
20100330;14,773;0,546662822
20100331;14,762;-0,077911963
20100401;15,061;2,006240129
20100406;15,464;2,638675517
20100407;15,567;0,667410709
20100408;15,602;0,221484033
20100409;15,763;1,027155032
20100412;15,774;0,072966074
20100413;15,763;-0,072966074
