Date;Brent 1M
20120611;86,028
20120612;84,757
20120613;84,013
20120614;83,796
20120615;84,186
20120618;84,567
20120619;83,216
20120620;82,965
20120621;80,305
20120622;77,307
20120625;78,823
20120626;78,849
20120627;80,591
20120628;81,007
20120629;79,152
20120702;84,732
20120703;84,333
20120704;87,227
20120705;86,439
20120706;87,244
20120709;85,07
20120710;86,915
20120711;84,879
20120712;86,723
20120713;87,237
20120716;88,228
20120717;89,925
20120718;90,473
20120719;91,482
20120720;93,779
20120723;92,935
20120724;89,829
20120725;89,968
20120726;90,803
20120727;91,569
20120730;92,622
20120731;92,387
20120801;91,273
20120802;92,178
20120803;92,126
20120806;94,77
20120807;95,301
20120808;97,432
20120809;97,554
20120810;98,494
20120813;98,259
20120814;98,824
20120815;99,198
20120816;101,109
20120817;101,958
20120820;100,578
20120821;100,569
20120822;101,401
20120823;101,64
20120824;101,728
20120827;100,472
20120828;99,296
20120829;99,579
20120830;99,543
20120831;99,641
20120903;101,339
20120904;102,409
20120905;100,994
20120906;100,03
20120907;100,384
20120910;101,056
20120911;101,551
20120912;102,073
20120913;102,571
20120914;103,06
20120917;103,754
20120918;101,201
20120919;99,636
20120920;96,221
20120921;97,857
20120924;99,094
20120925;97,662
20120926;98,231
20120927;97,866
20120928;99,618
20121001;99,956
20121002;99,778
20121003;99,227
20121004;96,203
20121005;100,125
20121008;99,627
20121009;99,449
20121010;101,833
20121011;101,626
20121012;102,973
20121015;102,012
20121016;102,722
20121017;102,363
20121018;101,662
20121019;100,944
20121022;98,897
20121023;98,268
20121024;97,2
20121025;96,84
20121026;97,415
20121029;98,367
20121030;98,268
20121031;97,945
20121101;97,604
20121102;97,128
20121105;94,892
20121106;96,733
20121107;99,732
20121108;95,916
20121109;96,302
20121112;98,232
20121113;97,936
20121114;97,209
20121115;98,241
20121116;97,815
20121119;98,667
20121120;101,157
20121121;99,464
20121122;100,396
20121123;100,116
20121126;100,867
20121127;100,451
20121128;99,5
20121129;99,174
20121130;100,306
20121203;100,731
20121204;100,451
20121205;99,473
20121206;98,54
20121207;96,928
20121210;96,919
20121211;97,2
20121212;97,815
20121213;99,035
20121214;97,604
20121217;99,181
20121218;98,686
20121219;99,787
20121220;101,18
20121221;101,033
20121224;99,906
20121227;101,831
20121228;101,583
20121231;101,418
20130102;101,868
20130103;103,115
20130104;102,812
20130107;102,051
20130108;102,134
20130109;102,629
20130110;102,464
20130111;102,583
20130114;101,437
20130115;102,574
20130116;101,125
20130117;101,171
20130118;102,481
20130121;103,21
20130122;103,044
20130123;103,699
20130124;104,049
20130125;104,492
20130128;104,492
20130129;104,676
20130130;105,488
20130131;105,986
20130201;106,586
20130204;107,702
20130205;106,632
20130206;107,481
20130207;107,674
20130208;108,145
20130211;109,676
20130212;108,966
20130213;109,455
20130214;109,575
20130215;109,687
20130218;109,371
20130219;109,111
20130220;109,241
20130221;107,456
20130222;105,532
20130225;106,062
20130226;106,378
20130227;104,77
20130228;103,989
20130301;103,533
20130304;102,622
20130305;102,334
20130306;103,747
20130307;103,236
20130308;103,319
20130311;103,041
20130312;102,455
20130313;101,925
20130314;101,001
20130315;101,673
20130318;102,476
20130319;102,186
20130320;100,264
20130321;101,449
20130322;100,283
20130325;100,46
20130326;100,936
20130327;102,046
20130328;102,354
20130402;103,651
20130403;103,288
20130404;99,947
20130405;99,228
20130408;97,157
20130409;97,661
20130410;99,126
20130411;98,78
20130412;97,473
20130415;96,222
20130416;93,971
20130417;93,299
20130418;91,226
20130419;92,57
20130422;93,056
20130423;93,747
20130424;93,672
20130425;94,998
20130426;96,567
20130429;96,334
20130430;96,941
20130501;95,596
20130502;93,336
20130503;96,044
20130506;97,295
20130507;98,481
20130508;97,492
20130509;97,436
20130510;97,557
20130513;97,034
20130514;96,016
20130515;95,811
20130516;96,736
20130517;96,998
20130520;97,802
20130521;97,951
20130522;97,119
20130523;95,895
20130524;95,745
20130527;95,932
20130528;95,914
20130529;97,418
20130530;95,736
20130531;95,512
20130603;93,829
20130604;95,39
20130605;96,493
20130606;96,306
20130607;96,839
20130610;97,727
20130611;97,157
20130612;96,231
20130613;96,783
20130614;98,082
20130617;98,998
20130618;98,568
20130619;99,082
20130620;99,175
20130621;95,465
20130624;94,306
20130625;94,54
20130626;94,633
20130627;95,007
20130628;96,091
20130701;95,474
20130702;96,259
20130703;97,194
20130704;98,839
20130705;98,633
20130708;100,67
20130709;100,399
20130710;100,755
20130711;101,319
20130712;100,726
20130715;101,564
20130716;101,705
20130717;101,761
20130718;102,204
20130719;102,288
20130722;101,696
20130723;101,771
20130724;102,025
20130725;100,867
20130726;101,3
20130729;100,849
20130730;101,112
20130731;100,604
20130801;101,347
20130802;103,079
20130805;102,524
20130806;102,288
20130807;101,799
20130808;101,103
20130809;100,388
20130812;101,837
20130813;102,542
20130814;103,342
20130815;103,666
20130816;104,409
20130819;105,171
20130820;104,695
20130821;104,933
20130822;104,609
20130823;104,695
20130826;105,781
20130827;105,486
20130828;108,944
20130829;111,087
20130830;109,706
20130902;108,61
20130903;108,915
20130904;110,201
20130905;109,468
20130906;109,801
20130909;110,621
20130910;108,334
20130911;105,981
20130912;106,145
20130913;107,436
20130916;107,599
20130917;106,029
20130918;104,218
20130919;106,54
20130920;104,767
20130923;105,211
20130924;104,189
20130925;104,652
20130926;104,344
20130927;105,201
20130930;104,642
20131001;104,392
20131002;103,978
20131003;105,182
20131004;104,999
20131007;105,442
20131008;105,654
20131009;106,116
20131010;105,056
20131011;107,696
20131014;107,195
20131015;106,964
20131016;105,923
20131017;107,056
20131018;105,623
20131021;106,427
20131022;106,136
20131023;106,456
20131024;104,355
20131025;103,571
20131028;103,513
20131029;106,107
20131030;105,526
20131031;106,349
20131101;105,362
20131104;102,526
20131105;102,835
20131106;101,964
20131107;101,877
20131108;100,154
20131111;101,761
20131112;103
20131113;102,429
20131114;103,739
20131115;105,088
20131118;105,301
20131119;105,272
20131120;103,768
20131121;104,874
20131122;106,835
20131125;107,776
20131126;107,728
20131127;107,611
20131128;108,029
20131129;107,592
20131202;106,456
20131203;108,164
20131204;109,3
20131205;108,582
20131206;107,708
20131209;108,32
20131210;106,165
20131211;106,156
20131212;106,525
20131213;105,426
20131216;105,368
20131217;106,428
20131218;105,484
20131219;106,642
20131220;107,284
20131223;108,724
20131224;108,519
20131227;108,928
20131230;109,122
20131231;108,179
20140102;107,78
20140103;106,89
20140106;106,73
20140107;107,35
20140108;107,15
20140109;106,39
20140110;107,25
20140113;106,75
20140114;106,39
20140115;106,27
