Date;Carbon F
20110228;17,485
20110301;17,463
20110302;17,609
20110303;17,406
20110304;17,823
20110307;17,868
20110308;17,902
20110309;17,891
20110310;17,767
20110311;17,722
20110314;18,702
20110315;19,389
20110316;19,434
20110317;18,916
20110318;19,4
20110321;18,984
20110322;19,062
20110323;19,108
20110324;18,634
20110325;18,984
20110328;19,479
20110329;19,186
20110330;19,209
20110331;19,468
20110401;19,412
20110404;19,502
20110405;19,288
20110406;19,333
20110407;19,119
20110408;19,153
20110411;18,882
20110412;18,691
20110413;18,747
20110414;18,916
20110415;19,288
20110418;18,781
20110419;18,95
20110420;19,13
20110421;19,006
20110426;19,029
20110427;19,265
20110428;19,389
20110429;19,31
20110502;19,626
20110503;19,378
20110504;19,254
20110505;19,119
20110506;19,209
20110509;19,209
20110510;19,108
20110511;18,972
20110512;19,051
20110513;18,837
20110516;19,029
20110517;18,747
20110518;18,691
20110519;18,589
20110520;18,465
20110523;18,195
20110524;18,432
20110525;18,454
20110526;18,42
20110527;19,029
20110530;19,029
20110531;19,141
20110601;18,927
20110602;18,871
20110603;18,961
20110606;18,803
20110607;18,758
20110608;18,601
20110609;18,781
20110610;18,758
20110613;18,803
20110614;18,589
20110615;18,308
20110616;18,139
20110617;17,632
20110620;17,204
20110621;16,674
20110622;16,651
20110623;15,063
20110624;13,812
20110627;14,612
20110628;15,198
20110629;14,657
20110630;15,243
20110701;14,962
20110704;15,108
20110705;15,266
20110706;14,849
20110707;14,646
20110708;14,286
20110711;13,621
20110712;13,97
20110713;13,508
20110714;13,869
20110715;14,004
20110718;13,767
20110719;13,97
20110720;14,421
20110721;14,77
20110722;14,635
20110725;14,567
20110726;14,488
20110727;13,981
20110728;14,105
20110729;13,779
20110801;13,519
20110802;13,227
20110803;12,877
20110804;12,72
20110805;12,066
20110808;12,1
20110809;12,866
20110810;13,069
20110811;13,812
20110812;14,038
20110815;14,049
20110816;13,959
20110817;14,432
20110818;13,914
20110819;14,083
20110822;14,162
20110823;14,556
20110824;14,849
20110825;14,669
20110826;14,86
20110829;15,007
20110830;15,209
20110831;14,59
20110901;14,533
20110902;14,207
20110905;13,97
20110906;13,745
20110907;14,026
20110908;13,812
20110909;13,407
20110912;13,418
20110913;13,565
20110914;13,79
20110915;13,959
